type;id;name;gender;person;description
way;540961120;Flor Huysmanslaan;M;Flor Huysmans;Former mayor of Wilrijk
way;5088693;Huybrechtsstraat;+;Familie Huybrechts;Straat gebouwd op de gronden van de Family Huybrechts
relation;2634492;Ingenieur Haesaertslaan;M;Benjamin Haesaerts;
way;567918844;Ingenieur Menneslaan;M;August Mennes;August Mennes was responsible for the infrastructure in greater Antwerp.
way;33562361;Ingenieur Stasstraat;M;;
way;28434430;Ivan Maquinaylei;M;Ivan Maquinay;Fouder of Esso
way;26793352;Jaak De Boeckstraat;M;Jaak De Boeck;
way;4498459;Jaak Embrechtsstraat;M;Jaak Embrechts;Former mayor
way;30627677;Jaak Gorusstraat;M;Jaak Gorus;Artist/painter
way;29090368;Jaak Lindersstraat;M;Jaak Linders;
way;23373368;Jaak Van Haesendonckstraat;M;Jaak Van Haesendonck;First soldier from Ekeren  to die in WW1
way;23401443;Jaak Van Rillaerlaan;M;Jaak Van Rillaer;
way;4443348;Breughelstraat;M;Familie Breughel;Named after Pieter Bruegel de Oude, Pieter Brueghel de Jonge and Jan Brueghel de Oude.
way;4443445;Bexstraat;M;Frans J.H. Bex ;Frans J.H. Bex (1803-1891)
way;863070843;Ellermanstraat;M;Abraham Ellerman;consul van Hannover te Antwerpen
way;6076144;Milisstraat;M;Jacob Milis;
way;77397383;Maria-Theresialei;F;Maria Theresia Aernouts;Maria Theresia Aernouts (1857-1912), de eerste echtgenote van Antoon Van den Weyngaert.
way;222435436;Leen Van Marckestraat;F;Leen Van Marcke;Leen Van Marcke (1902-1987) Auteur
way;785688362;Amelia Briersstraat;F;Amelia Briers;Verzetsleider uit Ekeren
